base_price,discounted_price,product_name,category,brand,description
"1,29","0,93",Tomates Concassées - 400g,epicerie-salee,par La Bio Idea,"Prix au kilo : 2,35€/kgTomates concassées idéales pour la confection de délicieuses sauces. Ingrédients issus de l'agriculture biologique . Contenance : Boîte de 400g.Ingrédients : Tomates , jus de tomatesValeurs nutritionnelles (pour 100g) : Energie (kJ/Kcal) 110/26 ; Matières grasses : 0,2g dont acides gras saturés :"
"6,69","4,31",Curry D'Aubergines - 650g,epicerie-salee,par ProSain,"Prix au kilo : 6,63€/kgCurry d'aubergines aux ingrédients issus de l'agriculture biologique. Contenance : 650gIngrédients : Aubergines frites (49%), pulpe de tomate , oigons , huile de tournesol désodorisée, eau, poudre de lait de coco , épices , sirop de riz , sel de mer, graines de fenouil ; jus concentré de citronVa"
"4,69","3,41",Ratatouille À La Catalane - 650g,epicerie-salee,par ProSain,"Prix au kilo : 5,26€/kgDélicieuse ratatouille a la catalane aux ingrédients issus de l'agriculture biologique. Contenance : 650gIngrédients : Tomate (reconstituée à partir de concentré ) et pulpe de tomate ,aubergines frites 21%, courgettes frites 21%, oignons , huile de tournesol désodorisée, poivrons rouges, sel de m"
"5,99","4,17",Tahin purée de sésame nature - 500g,epicerie-salee,par Lima,"Prix au kilo : 8,34€/kgTahin purée de sésame complet nature. Pot de 500g.Ingrédients : SésameValeurs nutritionnelles (pour 100g) : Energie (kJ/Kcal) 2696/645 ; Matières grasses : 56,5g dont acides gras saturés : 9,9g ; Glucides : 3,8g dont Sucres : 2,6g ; Protéines : 25,3g ; Fibres : 10g; Sodium : 0,01g"
"2,59","1,95",Maïs Doux - 345g,epicerie-salee,par ProSain,"Prix au kilo : 5,65€/kgMaïs doux à déguster froid en salade ou chaud en garniture de tous vos plats. Teneur très réduite en sodium. Ingrédients issus de l'agriculture biologique. Contenance : 345gIngrédients : Maïs doux, eauValeurs nutritionnelles (pour 100g) : Energie (kJ/Kcal) 395/94 ; Matières grasses : 3,2g ; Gluci"
"4,49","3,61",Vinaigre Balsamique De Modène - 50cl,epicerie-salee,par La Bio Idea,"Prix au litre : 7,22€/LVinaigre balsamique de Modène, idéal pour agrémenter vos plats favoris. Ingrédients issus de l'agriculture biologique. Conteenance : 500ml.Ingrédients : Vinaigre de vin , moût de raisin concentré (sulfites), moût de raisin cuit (sulfites)Valeurs nutritionnelles (pour 100g) : Energie (kJ/Kcal) 560"
"2,39","1,83",Chocolat Noir bio 70% à la Fleur de Sel - 100g,epicerie-sucree,par Kaoka,Le chocolat noir et la fleur de sel ? Difficile de faire mieux pour accompagner le café de fin de repas le dimanche en famille ! L'équilibre entre le piquant du sel et l'amertume du chocolat noir est tout simplement parfait.
"3,50","2,53",Bols Mijoté De Légumes Poulet Quinoa (dès 12 mois) - 2x200g,produits-bebe,par Babybio,"Prix au kilo : 6,35€/kg2 bols ""Menu du jour"" Mitonné de légumes au poulet fermier et quinoa, pour les enfants de 12 mois et +. Ingrédients issus de l'agriculture biologique. Contenance : 2 x 200g.Ingrédients : Légumes 54% (carottes des Landes 32%, poivrons d'Espagne 10%, oignons d'Espagne , tomates de la Drôme 4%), eau"
"2,19","1,45",Cotons tiges biodegradables au coton bio - x200,beaute-hygiene,par Douce Nature,"Prix unitaire : 0,01€/unité Prenez soin de la planète en même temps que de de vos oreilles. Aveec des extrémités 100% coton bio et des tiges en papier blanchies à l'eau oxygénée et non pas au chlore, cest coton tige on un impact carbone minime. Soyez écolo jusqu'aux oreilles !200 pièces par boîteComposition : Extrémité"
"12,99","11,74",Huile de Massage Douceur - 200ml,produits-bebe,par Weleda,"Prix au litre : 58,75€/LHuile de massage douceur pour bébé. Au calendula et à la camomille. Calme et apaise avec douceur la peau de votre enfant. Flacon de 200 ml.Composition : Huile de sésame biologique, Huile d’amande douce biologique, Extrait de fleurs de calendula biologique, Extrait de fleurs de camomille biologiq"
"3,99","2,87",Papier Toilette compact recyclé - x4,vegan,par Ecodoo,"Pratiques, pas chers et écologiques, ces 4 rouleaux Ecodoo,équivalent à 12 rouleaux classiques ! Et en plus, vous préservez la planète en réduisant la production globale de déchets puisque ce papier toilette est à 100% issu de matières recyclables."
"3,69","2,60",Bouillie Crème De Riz (dès 4 mois) - 250g,produits-bebe,par Holle,"Prix au kilo : 10,4€/kgCrème de Riz Bio pour bébé, à partir de 4 mois. Boîte de 250 grammes.Ingrédients:Riz complet*, vitamine B1Valeurs nutritionelles ajoutées très bientôt"
"4,99","3,81",Lingettes Bébé Biodégradables - x40,produits-bebe,par Douce Nature,"Prix unitaire : 0,1€/unitéPaquet de 40 lingettes biodégradables certifiées Ecocert pour la peau de bébéComposition:extrait de Calendula* (hydratant), eau florale de Camomille* (calmante), huile essentielle 100% pure et naturelle de mandarine rouge*Ingrédients INCI:Water, Chamomilla Recutita Water*, Lauramidopropyl Beta"
"18,90","14,85",Couches Ecologiques T6/XXL (16-30kg) - x38,produits-bebe,par Tidoo,"Prix unitaire : 0,39€/unitéLes couches écologiques Tidoo sont hypoallergéniques et anti-fuites, elles préserveront bébé jusqu'à 12h ! Fabriqué en France. Pack de 38 couches. Taille 6-XXL 16-30 kg.Composition : 50% de matières premières biodégradables, Cellulose ou pulpe de bois FSC© issue à 100% de fibres de source res"
"13,15","10,52",Soin colorant 030 - 100% Rouge - 100g,vegan,par Logona,"Prix au kg : 105,2€/kgFort de son expérience, le laboratoire Logona joue un rôle prépondérant parmi les laboratoires de cosmétique naturelle contrôlée et propose une gamme de cosmétiques reconnus pour leur qualité: des shampoings naturels aux soins anti-âge, en passant par l'après-soleil, les dentifrices ou les produit"
"13,15","10,52",Soin colorant 030 - 100% Rouge - 100g,beaute-hygiene,par Logona,"Prix au kg : 105,2€/kgFort de son expérience, le laboratoire Logona joue un rôle prépondérant parmi les laboratoires de cosmétique naturelle contrôlée et propose une gamme de cosmétiques reconnus pour leur qualité: des shampoings naturels aux soins anti-âge, en passant par l'après-soleil, les dentifrices ou les produit"
"12,90","10,32",Spray Coiffant spécial brushing au Bambou - 150mL,beaute-hygiene,par Logona,"Prix au litre : 68,8€/litre Le spray coiffant « spécial brushing », avec son extrait fortifiant de bambou, a été conçu spécialement pour sculpter les cheveux par un brushing des cheveux humides. La formule protège également les cheveux, qui sont très sollicités par le brossage et le sèche-cheveux. Composition : Aqua (W"
"13,15","10,52",Soin colorant 020 - 100% Sahara - 100g,beaute-hygiene,par Logona,"Prix au kg : 105,2€/kgFort de son expérience, le laboratoire Logona joue un rôle prépondérant parmi les laboratoires de cosmétique naturelle contrôlée et propose une gamme de cosmétiques reconnus pour leur qualité: des shampoings naturels aux soins anti-âge, en passant par l'après-soleil, les dentifrices ou les produit"
"13,15","10,52",Soin colorant 070 - 100% Marron - 100g,beaute-hygiene,par Logona,"Prix au kg : 105,2€/kgFort de son expérience, le laboratoire Logona joue un rôle prépondérant parmi les laboratoires de cosmétique naturelle contrôlée et propose une gamme de cosmétiques reconnus pour leur qualité: des shampoings naturels aux soins anti-âge, en passant par l'après-soleil, les dentifrices ou les produit"
"11,29","8,22",Lait autobronzant corps - 150ml,beaute-hygiene,par Lavera,"Prix au litre : 54,8€/litreProtégez-vous du soleil naturellement avec le Lait après-soleil de Lavera!Il confère à la peau un soin intensif et équilibrant après le bain de soleil. Il prend soin de la peau grâce aux huiles bio de soja, de graines de tournesol, de noix de coco et au beurre de karité, qui le compose.Du gel"
"13,15","10,52",Soin colorant 101 - 100% Noir Intense - 100g,beaute-hygiene,par Logona,"Prix au kg : 105,2€/kgFort de son expérience, le laboratoire Logona joue un rôle prépondérant parmi les laboratoires de cosmétique naturelle contrôlée et propose une gamme de cosmétiques reconnus pour leur qualité: des shampoings naturels aux soins anti-âge, en passant par l'après-soleil, les dentifrices ou les produit"
"10,90","8,72",Shampoing Hydratant à l'Aloé vera - 250ml,beaute-hygiene,par Logona,"Prix au litre : 34,9€/litreAdapté aux cheveux agressés et sur-sollicités ce shampooing soin à l’aloès leur redonne souplesse et douceur tout en protégeant la tige capillaire. Hydratés et protégés, les cheveux sont souples et irrésistiblement doux au toucher.Ingrédients actifs : Jus d’aloe vera (hydrate et nourrit inten"
"10,60","8,48",Shampoing à la Caféine - Age Energy - 250ml,beaute-hygiene,par Logona,"Prix au litre : 33,9€/litreUne formule enrichie en aloe vera bio, en grenade bio et en huile de graines de bardane bio, qui apportent un soin supplémentaire et stimulent la repousse des cheveux fins et clairsemés.Actifs : . Extrait de feuilles de bambou : Riche en silice, le bambou apporte des minéraux aux cheveux pour"
